395,214,21,51
392,215,22,50
394,214,20,50
392,213,22,52
391,213,23,51
390,211,21,52
387,213,23,52
388,213,22,52
385,213,23,52
384,214,24,52
384,215,23,49
386,215,21,50
385,215,21,51
383,214,22,49
383,215,21,52
379,216,25,51
379,217,23,49
379,217,24,53
378,218,25,53
376,217,22,52
376,216,23,53
375,216,23,53
374,216,24,51
370,217,27,51
371,218,24,52
371,220,23,54
371,221,25,51
370,220,24,52
367,222,25,53
369,224,25,51
366,220,24,51
367,222,22,52
368,224,21,50
366,224,23,50
364,227,25,49
364,225,23,52
364,225,23,53
363,224,22,56
363,228,22,51
361,228,22,52
359,230,23,51
358,230,22,50
356,230,25,51
356,231,22,50
357,232,22,49
356,233,21,50
355,233,20,52
355,232,21,51
355,233,21,50
353,232,22,49
351,233,23,48
350,231,25,48
351,231,22,50
349,231,23,50
350,233,20,48
349,235,19,48
347,234,20,51
346,238,20,47
345,237,19,48
342,238,21,51
343,239,20,51
342,240,21,50
342,239,20,50
342,240,21,52
341,240,21,49
337,240,25,47
338,240,20,49
335,241,22,48
335,240,22,49
336,239,21,50
334,241,24,49
332,240,23,48
332,241,23,48
331,239,23,54
330,241,23,51
331,242,23,53
329,243,23,52
327,243,22,49
327,242,23,50
327,244,22,48
325,245,21,47
324,245,22,49
323,244,21,52
327,243,17,48
320,245,22,52
318,246,23,53
318,246,24,53
318,245,22,53
317,245,22,51
317,245,21,53
314,245,23,54
314,244,21,50
311,243,23,53
306,242,24,53
306,242,23,52
306,240,23,52
305,239,24,52
304,237,24,52
305,238,20,51
302,236,26,52
301,235,23,52
301,235,21,45
300,232,23,51
296,233,26,52
295,231,25,51
293,229,25,50
294,228,21,52
293,227,25,51
293,226,26,53
295,226,24,52
294,228,25,51
295,226,25,51
296,224,22,53
296,222,23,53
297,223,24,51
296,221,24,51
294,218,23,53
296,218,22,53
297,218,20,52
294,217,21,50
295,217,21,52
295,217,20,52
293,216,20,51
292,216,21,50
292,214,21,53
289,213,23,56
288,215,25,53
286,212,26,54
286,215,22,54
284,214,25,53
284,213,22,52
283,210,23,54
281,213,23,51
279,214,25,51
277,214,28,53
276,213,25,51
278,214,25,50
275,211,24,50
272,212,24,50
273,212,24,54
272,214,24,50
268,214,24,53
268,214,26,52
267,214,24,54
264,213,24,53
264,214,24,53
264,214,23,52
263,213,21,52
258,213,24,52
259,212,22,52
258,211,23,54
256,212,21,54
254,210,20,55
251,212,23,52
252,211,21,54
248,211,24,53
250,210,21,51
248,210,21,52
246,209,22,54
246,210,21,53
243,209,25,52
244,208,22,54
241,209,23,54
242,209,23,53
241,212,21,50
240,208,22,54
242,208,20,52
240,208,21,51
239,207,21,54
237,209,24,53
236,207,26,54
235,207,27,53
237,208,23,53
236,209,22,53
232,208,26,53
235,206,22,54
231,206,24,54
231,205,25,52
232,208,25,54
232,206,23,55
230,205,22,53
231,207,22,55
230,206,22,53
230,206,21,54
230,207,21,53
229,207,21,53
227,206,24,53
229,205,21,54
226,204,23,53
227,205,22,56
226,206,21,55
227,206,21,55
226,205,20,54
226,205,21,53
225,204,21,54
225,203,21,55
222,202,23,55
223,204,22,54
224,204,23,55
223,203,22,54
222,202,22,54
220,203,23,54
